feature,mean_abs_shap,model
percolator_utilization_score,0.13564108,Treated Model
current_risk_score,0.11893954,Treated Model
diabetes_flag,0.029432885,Treated Model
percolator_clinical_score,0.011562149,Treated Model
client_contract_Contract_B,0.009817369,Treated Model
anxiety_flag,0.0094808,Treated Model
percolator_sdoh_score,0.007907474,Treated Model
med_adherence_pdc,0.007300524,Treated Model
case_manager_name_CM_10,0.0,Treated Model
case_manager_name_CM_13,0.0,Treated Model
case_manager_name_CM_12,0.0,Treated Model
case_manager_name_CM_11,0.0,Treated Model
age,0.0,Treated Model
case_manager_name_CM_15,0.0,Treated Model
case_manager_name_CM_09,0.0,Treated Model
case_manager_name_CM_08,0.0,Treated Model
case_manager_name_CM_07,0.0,Treated Model
case_manager_name_CM_06,0.0,Treated Model
case_manager_name_CM_05,0.0,Treated Model
case_manager_name_CM_04,0.0,Treated Model
case_manager_name_CM_03,0.0,Treated Model
case_manager_name_CM_14,0.0,Treated Model
gender_Female,0.0,Treated Model
case_manager_name_CM_01,0.0,Treated Model
plan_type_Medicaid,0.0,Treated Model
risk_tier_Medium,0.0,Treated Model
risk_tier_Low,0.0,Treated Model
risk_tier_High,0.0,Treated Model
language_Spanish,0.0,Treated Model
language_Other,0.0,Treated Model
language_English,0.0,Treated Model
plan_type_Medicare,0.0,Treated Model
plan_type_Dual,0.0,Treated Model
gender_Male,0.0,Treated Model
plan_type_Commercial,0.0,Treated Model
county_County_F,0.0,Treated Model
county_County_E,0.0,Treated Model
county_County_D,0.0,Treated Model
county_County_C,0.0,Treated Model
county_County_B,0.0,Treated Model
county_County_A,0.0,Treated Model
case_manager_name_CM_02,0.0,Treated Model
service_region_South,0.0,Treated Model
program_Complex_CM,0.0,Treated Model
behavioral_health_risk_flag,0.0,Treated Model
specialist_visits_last_6m,0.0,Treated Model
pcp_visits_last_6m,0.0,Treated Model
utilities_insecurity_flag,0.0,Treated Model
transportation_barrier_flag,0.0,Treated Model
housing_instability_flag,0.0,Treated Model
food_insecurity_flag,0.0,Treated Model
ckd_flag,0.0,Treated Model
program_CM,0.0,Treated Model
substance_use_flag,0.0,Treated Model
depression_flag,0.0,Treated Model
asthma_flag,0.0,Treated Model
copd_flag,0.0,Treated Model
chf_flag,0.0,Treated Model
living_alone_flag,0.0,Treated Model
ed_visits_last_30d,0.0,Treated Model
ed_visits_last_6m,0.0,Treated Model
admits_last_6m,0.0,Treated Model
observation_stays_last_6m,0.0,Treated Model
total_cost_last_6m,0.0,Treated Model
rx_count_last_6m,0.0,Treated Model
high_cost_drug_flag,0.0,Treated Model
opioid_flag,0.0,Treated Model
polypharmacy_flag,0.0,Treated Model
client_contract_Contract_A,0.0,Treated Model
client_contract_Contract_C,0.0,Treated Model
service_region_Central,0.0,Treated Model
service_region_East,0.0,Treated Model
service_region_North,0.0,Treated Model
dual_eligible,0.0,Treated Model
service_region_West,0.0,Treated Model
program_BH_CM,0.0,Treated Model
risk_tier_Very_High,0.0,Treated Model
current_risk_score,0.059741642,Control Model
age,0.018609496,Control Model
county_County_A,0.015389485,Control Model
percolator_clinical_score,0.012491435,Control Model
copd_flag,0.009522205,Control Model
percolator_sdoh_score,0.00770056,Control Model
admits_last_6m,0.0072332253,Control Model
rx_count_last_6m,0.0072118575,Control Model
depression_flag,0.0070578116,Control Model
utilities_insecurity_flag,0.0069546215,Control Model
gender_Female,0.0044021546,Control Model
case_manager_name_CM_14,0.004170055,Control Model
program_CM,0.003533305,Control Model
behavioral_health_risk_flag,0.0027933046,Control Model
case_manager_name_CM_13,0.0,Control Model
case_manager_name_CM_10,0.0,Control Model
case_manager_name_CM_12,0.0,Control Model
case_manager_name_CM_11,0.0,Control Model
case_manager_name_CM_09,0.0,Control Model
case_manager_name_CM_08,0.0,Control Model
case_manager_name_CM_07,0.0,Control Model
case_manager_name_CM_06,0.0,Control Model
case_manager_name_CM_05,0.0,Control Model
case_manager_name_CM_04,0.0,Control Model
case_manager_name_CM_15,0.0,Control Model
county_County_B,0.0,Control Model
gender_Male,0.0,Control Model
plan_type_Medicare,0.0,Control Model
risk_tier_Medium,0.0,Control Model
risk_tier_Low,0.0,Control Model
risk_tier_High,0.0,Control Model
language_Spanish,0.0,Control Model
language_Other,0.0,Control Model
language_English,0.0,Control Model
plan_type_Medicaid,0.0,Control Model
case_manager_name_CM_02,0.0,Control Model
plan_type_Dual,0.0,Control Model
plan_type_Commercial,0.0,Control Model
county_County_F,0.0,Control Model
county_County_E,0.0,Control Model
county_County_D,0.0,Control Model
county_County_C,0.0,Control Model
case_manager_name_CM_03,0.0,Control Model
service_region_South,0.0,Control Model
case_manager_name_CM_01,0.0,Control Model
observation_stays_last_6m,0.0,Control Model
living_alone_flag,0.0,Control Model
diabetes_flag,0.0,Control Model
chf_flag,0.0,Control Model
asthma_flag,0.0,Control Model
anxiety_flag,0.0,Control Model
substance_use_flag,0.0,Control Model
ckd_flag,0.0,Control Model
food_insecurity_flag,0.0,Control Model
housing_instability_flag,0.0,Control Model
transportation_barrier_flag,0.0,Control Model
pcp_visits_last_6m,0.0,Control Model
specialist_visits_last_6m,0.0,Control Model
ed_visits_last_30d,0.0,Control Model
ed_visits_last_6m,0.0,Control Model
total_cost_last_6m,0.0,Control Model
program_Complex_CM,0.0,Control Model
med_adherence_pdc,0.0,Control Model
high_cost_drug_flag,0.0,Control Model
opioid_flag,0.0,Control Model
polypharmacy_flag,0.0,Control Model
percolator_utilization_score,0.0,Control Model
client_contract_Contract_A,0.0,Control Model
client_contract_Contract_B,0.0,Control Model
client_contract_Contract_C,0.0,Control Model
service_region_Central,0.0,Control Model
service_region_East,0.0,Control Model
service_region_North,0.0,Control Model
dual_eligible,0.0,Control Model
service_region_West,0.0,Control Model
program_BH_CM,0.0,Control Model
risk_tier_Very_High,0.0,Control Model
