risk_tier,benefit_group,members,risk_tier_members,pct_within_risk_tier,benefit_group_definition
Low,High benefit,4,51,0.0784313725490196,uplift_decile 1-2 (top 20%)
Low,Medium benefit,32,51,0.6274509803921569,uplift_decile 3-7 (middle 50%)
Low,Low benefit,15,51,0.29411764705882354,uplift_decile 8-10 (bottom 30%)
Medium,High benefit,51,207,0.2463768115942029,uplift_decile 1-2 (top 20%)
Medium,Medium benefit,105,207,0.5072463768115942,uplift_decile 3-7 (middle 50%)
Medium,Low benefit,51,207,0.2463768115942029,uplift_decile 8-10 (bottom 30%)
High,High benefit,3,42,0.07142857142857142,uplift_decile 1-2 (top 20%)
High,Medium benefit,8,42,0.19047619047619047,uplift_decile 3-7 (middle 50%)
High,Low benefit,31,42,0.7380952380952381,uplift_decile 8-10 (bottom 30%)
Very High,High benefit,0,0,,uplift_decile 1-2 (top 20%)
Very High,Medium benefit,0,0,,uplift_decile 3-7 (middle 50%)
Very High,Low benefit,0,0,,uplift_decile 8-10 (bottom 30%)
